startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
1/8/99,1/8/99,South Africa,ZAF,Cap Oriental,Wildfire,"Land fire (Brush, Bush, Pastur",4,3005,1999-0605
00/07/1999,00/07/1999,Italy,ITA,"Sardaigne, Calabre, Ligurie",Wildfire,Forest fire,,,1999-0640
22/07/1999,22/07/1999,France,FRA,Alpilles,Wildfire,Forest fire,,6,1999-0642
00/01/1999,00/00/1999,Lao People's Democratic Republic (the),LAO,,Drought,Drought,,20000,1999-9037
00/01/1999,00/00/1999,Thailand,THA,,Drought,Drought,,6000000,1999-9037
00/03/1999,00/00/1999,China,CHN,North Region,Drought,Drought,,19000000,1999-9079
00/01/1999,00/00/1999,Viet Nam,VNM,Central - North regions,Drought,Drought,,1400000,1999-9084
00/03/1999,00/00/1999,Kiribati,KIR,"South Tarawa, Ocean Island",Drought,Drought,,84000,1999-9086
00/04/1999,00/00/2001,Iran (Islamic Republic of),IRN,"Fars, Buchehr, Yazd, Kerman, Sistan-Baluchestan, Kohkiluyeh Boyer-Ahmad, Hormuzgan, Khuzestan provinces",Drought,Drought,,37000000,1999-9122
00/11/1999,00/00/2003,Pakistan,PAK,"Thar, Kohistan, Kachoo (Sindh province), Lasbela, Kharan, Chaghi, Loralai,Zhob, Khuzdar, Kalat, Killa Saifullah, Pshin districts (Baluchistan Province)",Drought,Drought,143,2200000,1999-9122
00/04/1999,00/00/1999,Spain,ESP,"Andalousie, Estrémadure, Castille (centre), Levant (Murcie, Valence, Catalogne, Aragon",Drought,Drought,,,1999-9149
00/04/1999,00/00/1999,Israel,ISR,,Drought,Drought,,,1999-9153
00/07/1999,00/00/1999,Jordan,JOR,,Drought,Drought,,180000,1999-9153
00/05/1999,00/00/2000,Syrian Arab Republic,SYR,,Drought,Drought,,329000,1999-9153
00/06/1999,00/00/2001,Morocco,MAR,Tiznit,Drought,Drought,,275000,1999-9212
00/10/1999,00/00/2001,Burundi,BDI,"Bugabira, Busoni, Kirundo, Ntega districts (Kirundo province), Gihanga district (Bubanza province), Rumonge district (Bururi province), Buganda, Rugombo districts (Cibitoke province), Gitega, Ruyigi, Karuzi, Rutana, Makamba, Muyinga, Cankuzo provinces",Drought,Drought,6,650000,1999-9388
00/06/2001,00/00/2001,Djibouti,DJI,"Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah provinces",Drought,Drought,,100000,1999-9388
00/10/1999,00/00/2003,Eritrea,ERI,"Anseba, Debubawi Keih Bahri, Semenawi Keih Bahri provinces",Drought,Drought,,2300000,1999-9388
00/09/1999,00/12/2000,Ethiopia,ETH,"North Wollo, South Wollo, Oromia, Wag Himra districts (Amhara province), Southern district (Tigray province), Beneshangul Gumu, Gambela, Oromia, SNNPR, Somali provinces",Drought,Drought,,4900000,1999-9388
